"Story","Title","Result","Date","Stability","Duration (s)"
"BugTracker App","Happy Path","ERROR","2017-09-13T03:47:24.700-04:00","0.0","36.27"
"Simple Web App","Happy Path","ERROR","2017-09-13T03:48:07.337-04:00","0.0","35.28"
